"id","movie_id","genre_id"
"309bef41-46d5-4b53-b3a7-20f1f7eb660c",424694,18
"081a1647-7b98-48b5-9e31-110c0811d42b",424694,10402
"d26464ae-a016-480a-9470-94a6d3240a65",471507,53
"3f6c9617-ae0f-4d5a-9f61-b405d1817d44",487297,35
"e4fef2b2-932e-4f1e-97ec-6ab4cedb4304",454294,28
"66be76a6-a87a-47f2-9dce-68e2803e3f6d",471507,80
"05bfb8b4-58b5-401a-af1c-188b3e80a970",487297,14
"554a905e-d649-4f64-85bd-32043c0e9891",454294,12
"9157eaac-7a58-465d-a806-b8c6b211120e",471507,18
"98b909d1-b666-40da-9d93-8b7ae08c4738",487297,10749
"8610cb6a-8e86-4139-b68e-8f7eac4f6aed",454294,14
"b7b54344-292c-461c-9632-2bbc2c812e63",471507,28
"e5d44bc1-116f-4eb5-be09-020dcec03be8",454294,10751
"6e5d83ec-3b4a-4ed2-bdd0-3e8837e5e828",287947,35
"6e5b4380-b7d6-47b8-8342-f3fbda6b3118",424783,28
"ca37a74b-8256-4f98-8955-32e54d5c1613",522681,53
"1288ced7-beb6-4c5f-a5f0-9455a1f2545b",287947,12
"6ad8db3f-6aa5-4645-8b42-0fa4965558da",424783,12
"d65efed0-6275-41ac-8a07-083559d9a096",287947,14
"be0873ea-2b6f-4af2-a2c0-e1f2d4ed3a40",424783,878
"7f1c10e4-968c-4867-8e50-162527d8ab29",504172,80
"6e665578-6a0e-43bd-bb4c-8e8b25e73665",329996,12
"155f43d0-198c-441c-918b-432e4d92738e",458723,53
"5112547f-11f7-4caa-a908-e9a6bb26b85c",329996,10751
"e7ec9f06-4296-49c0-b9bc-4e6e5d11d29c",504172,18
"41cbadfa-5052-4c3d-9fbe-b7640d7ba4eb",329996,14
"bb7a9604-7c5c-44e2-9e0d-e10ef32b1f6c",458723,27
"abbfea08-e7d3-46dd-a0cc-d8d51299c6b5",504172,53
"473f389b-3403-480b-bf65-1be966b35c65",498580,35
"83cb1a7a-af05-4440-a1f7-e04877ff804c",498580,27
"8ad052a5-1ff5-49e7-8529-f39855267847",166428,16
"7df31cae-097f-4a3b-b000-f9dc9dd8a20b",537915,18
"cbf1ec1c-7c4a-4138-b12b-98784b493c59",411728,18
"41f29062-a158-4e39-9a62-540bf89cca54",166428,10751
"2ffec740-bf36-4c0a-a48f-da81f0825bda",537915,10749
"e564494e-ce2d-4381-94ea-5a2bd2fd5b28",411728,36
"40c6c1eb-17ed-4402-a1da-f5ba26183eb9",166428,12
"3b87bc25-6364-4861-8a0c-c3c0390e6af6",411728,9648
"dad22e54-b6c9-408a-8c45-54c567e1f803",456740,28
"2c9e5516-cc50-4264-91ec-f469f80b3b26",157433,27
"b7c13e1e-1488-4fce-880d-181be86d3684",456740,12
"7e0f6f64-57a4-47bd-893e-ba4af20d9de7",157433,53
"b50f3458-22c0-4e2d-9b3f-565ba0a42232",480414,53
"4dcc4050-52c1-4574-9239-6c993d1d5067",500682,80
"df140630-241f-4a26-a38b-80609a7d70bf",456740,14
"81023d31-fef7-4c14-947d-1e7e9e7093a1",299537,28
"3b2c9a01-7d36-40b1-b4df-e91dae8f127c",480414,27
"a2b3b438-46a1-415b-9827-d97fbb0090b4",500682,18
"2209fb56-6cd8-47f3-bb4f-832bcfa612cd",299537,12
"c7c35a33-62b6-451f-83b4-8fccca726421",480414,9648
"68fde963-553d-421a-8ef4-eeec03b13a06",500682,53
"c8801fd3-6a81-46d8-a466-3dde851865cc",299537,878
"72afbe9c-d89f-4217-b81c-1fce7417eb62",458253,16
"ea2dbc6f-9a6c-463c-aee2-2c287d7613a0",458253,35
"398f95b4-3a4d-4fc4-b8d6-f4cb7994333d",458253,12
"a3a639cb-a319-43c6-8c5b-c7164316e3ac",458253,14
"1d44601e-fb32-483f-8b3a-bba3f259d922",458253,10751
"edd1fab2-65e9-4d49-9710-47120f80206b",477016,18
"97a9a140-e60c-4be2-a0db-2b364fd92bd1",477016,80
"e069dc45-4fcf-487c-ae5a-fc2de9bce67b",477016,9648
"924a6b86-acb9-4848-b6e1-fcd134ad49c6",519238,27
"86971408-9d2d-49ee-ac51-036f35f27760",487850,18
"74514e34-e612-4dc9-90b2-8b235f30807c",438146,18
"0a74536a-ad94-499c-8bd2-e5fd8499e699",438146,80
"cfff0993-d633-42b1-9bfa-924cdb5f2452",574370,35
"8753ac02-acb3-404d-9595-b98457392370",595266,35
